NIR_iPPG,SPG
0.0018422123486642728,-0.0008017312695978376
0.0018746354144258872,-0.0009114214123173611
0.0018706583930299578,-0.0010249241609905939
0.0018335691547985838,-0.0011401881132101794
0.0017683479738048768,-0.0012552903606525803
0.0016814294994886405,-0.0013684713444967972
0.0015803863978151736,-0.0014781542361137815
0.0014735523741462734,-0.0015829532556602397
0.0013696052670069982,-0.001681674107011196
0.001277132594590287,-0.001773308213141873
0.001204202474780972,-0.0018570210987565497
0.0011579622968515254,-0.0019321343675201153
0.0011442858452701012,-0.0019981004298755154
0.0011674866835315683,-0.0020544695799420013
0.0012301115512243096,-0.0021008502978087057
0.0013328225702239607,-0.0021368656967810885
0.0014743716106136518,-0.0021621113926644777
0.0016516646864202468,-0.002176121973369476
0.0018599091462871888,-0.0021783539757040823
0.002092832072491074,-0.0021681924731944127
0.0023429550744740904,-0.002144986065069754
0.002601908868052922,-0.0021081115376377513
0.0028607707864317148,-0.0020570652603340575
0.0031104095082146563,-0.001991574128772567
0.0033418233760943478,-0.0019117152595982052
